agrressive, lawful, dynamic_obstacles, route_completion, off_road_event_time, pedestrian_collision, vehicle_collision, static_obstacle_collision, red_light_violation, stop_sign_violation, speed_limit_violation, right_turns, left_turns, average_speed
0, 0, 30, 1.0, 1.0, 0, 2, 0, 2, 2, 3, 1, 1, 21.939018730208335
0, 0, 30, 1.0, 1.0, 0, 0, 0, 2, 1, 3, 2, 2, 21.175729171108692
0, 5, 30, 1.0, 1.0, 0, 2, 0, 2, 2, 2, 3, 3, 17.654301702991237
0, 5, 30, 1.0, 1.0, 0, 2, 0, 2, 1, 2, 1, 2, 16.252342342424255
0, 10, 30, 0.98, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 14.34561298432112
0, 10, 30, 1.0, 1.0, 0, 0, 0, 0, 0, 0, 1, 1, 12.882555226767
5, 0, 30, 1.0, 0.94, 1, 1, 0, 3, 1, 3, 4, 4, 28.06642219894804
5, 0, 30, 1.0, 1.0, 0, 4, 0, 2, 2, 3, 1, 1, 27.323839911539338
5, 5, 30, 1.0, 1.0, 0, 1, 0, 0, 1, 1, 6, 5, 22.800332085120168
5, 5, 30, 1.0, 1.0, 0, 5, 0, 2, 2, 3, 4, 4, 24.0416294820858
5, 10, 30, 1.0, 1.0, 0, 1, 0, 1, 1, 0, 1, 1, 21.107478228616678
5, 10, 30, 1.0, 1.0, 0, 2, 0, 0, 0, 1, 0, 0, 22.6323232324458
10, 0, 30, 0.94, 0.86, 1, 2, 0, 5, 2, 3, 1, 1, 32.1783524143222
10, 0, 30, 1.0, 0.85, 0, 0, 1, 1, 1, 3, 3, 3, 33.657586048031956
10, 5, 30, 1.0, 0.81, 0, 3, 0, 3, 2, 1, 2, 3, 29.305413822238997
10, 5, 30, 1.0, 0.97, 0, 2, 0, 2, 2, 3, 1, 2, 28.834457125548382
10, 10, 30, 1.0, 0.98, 0, 0, 0, 0, 2, 2, 3, 2, 24.608416057804384
10, 10, 30, 1.0, 0.88, 0, 1, 0, 1, 0, 1, 2, 3, 26.834457125548382
