agrressive, lawful, dynamic_obstacles, route_completion, off_road_event_time, pedestrian_collision, vehicle_collision, static_obstacle_collision, red_light_violation, stop_sign_violation, speed_limit_violation, right_turns, left_turns, average_speed
0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0, 5, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0, 5, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
5, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
5, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
5, 5, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
5, 5, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
5, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
5, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
10, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
10, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
10, 5, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
10, 5, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
10, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
10, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11

