agrressive, lawful, dynamic_obstacles, route_completion, off_road_event_time, pedestrian_collision, vehicle_collision, static_obstacle_collision, red_light_violation, stop_sign_violation, speed_limit_violation, right_turns, left_turns, average_speed
0,   0, 60, 1.0,  1.0,  0, 3, 0, 1, 2, 2, 3, 3, 21.538245626262164
0,   0, 60, 1.0,  1.0,  0, 1, 0, 2, 1, 3, 3, 2, 21.46119080962285
0,   5, 60, 1.0,  1.0,  0, 0, 0, 3, 2, 3, 0, 0, 18.64583283130681
0,   5, 60, 1.0,  1.0,  0, 0, 0, 2, 2, 3, 0, 0, 16.645995664321123
0,  10, 60, 1.0,  1.0,  0, 0, 0, 0, 0, 0, 0, 0, 15.53678623603657
0,  10, 60, 1.0,  1.0,  0, 0, 0, 0, 0, 0, 0, 0, 15.53932991223217
5,   0, 60, 1.0,  1.0,  1, 3, 0, 4, 2, 3, 2, 2, 28.208486415330267
5,   0, 60, 0.92, 1.0,  0, 1, 0, 1, 2, 3, 1, 2, 27.867773221212192
5,   5, 60, 1.0,  1.0,  0, 1, 0, 3, 1, 3, 6, 7, 24.252468673881488
5,   5, 60, 1.0,  1.0,  0, 2, 0, 1, 0, 2, 2, 1, 24.252468673881488
5,  10, 60, 0.91, 0.97, 0, 1, 0, 0, 0, 2, 1, 1, 22.35627171717227
5,  10, 60, 1.0,  0.91, 0, 0, 0, 0, 0, 2, 1, 1, 23.966423331526
10,  0, 60, 1.0,  1.0,  0, 3, 0, 3, 1, 3, 6, 6, 30.919520114695608
10,  0, 60, 0.9,  0.86, 1, 3, 1, 2, 2, 3, 5, 5, 32.878787633658
10,  5, 60, 1.0,  0.81, 0, 3, 1, 3, 2, 2, 2, 3, 29.305413822238997
10,  5, 60, 1.0,  0.90, 0, 1, 0, 1, 2, 1, 3, 3, 29.45278572957295
10, 10, 60, 1.0,  1.0,  0, 2, 0, 0, 1, 2, 5, 5, 23.36314209544443
10, 10, 60, 0.98, 1.0,  0, 1, 0, 0, 0, 2, 2, 3, 22.29764635256326

